#pathway	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	P3-1	P3-2	P3-3
METHGLYUT-PWY	0.0	0.0	0.0	0.0	0.0	0.6248	0.0	0.0	0.0
METHYLGALLATE-DEGRADATION-PWY	0.0	813.1181	0.0	0.0	15.6219	187.2532	0.0	97.3053	0.0
NAD-BIOSYNTHESIS-II	1490.565	3637.6289	5536.3795	2084.168	2608.462	463.026	1978.8787	652.5765	3239.3586
NADSYN-PWY	2292.4425	7267.0849	4705.8732	4550.4399	2860.7221	4546.2099	4918.3464	1250.1169	2912.3645
NAGLIPASYN-PWY	6401.2893	26995.504	17957.7038	5766.2162	7818.5416	4819.6144	7820.5398	3967.7662	13853.4631
NONMEVIPP-PWY	11337.0234	42775.0698	29223.4991	12978.401	12578.2131	9429.1798	15033.4948	7401.6312	14126.8558
NONOXIPENT-PWY	15672.5369	60639.1807	43020.8828	17648.2777	17920.7771	11757.8476	20578.402	11461.1062	22764.8819
OANTIGEN-PWY	12103.4772	46351.6197	33897.9653	12161.201	13219.5212	7942.6478	15913.4316	7743.5905	17103.6368
ORNARGDEG-PWY	0.0	25.1057	129.5874	0.0	0.0	0.0	0.0	0.0	51.4531
ORNDEG-PWY	0.0	1052.0383	953.1987	0.0	0.0	0.0	0.0	0.0	46.4667
P101-PWY	325.4064	5445.8839	2090.4883	320.3182	496.4765	767.7435	250.8972	184.6763	3565.6165
P105-PWY	12223.0619	47145.8396	31812.4376	12993.1948	13730.4285	11124.5264	16065.1002	6778.1573	17190.8111
P108-PWY	15102.3128	55322.4021	38440.712	16825.6821	15821.0802	12862.0443	20016.8825	8323.2526	17601.7306
P122-PWY	1084.9721	9014.6432	5630.1282	1678.8383	1631.5922	1042.1689	769.6144	167.0391	1054.0028
P124-PWY	1249.877	10395.8755	6537.3005	1933.0426	1876.6522	1445.9414	880.9862	191.1961	3180.5687
P125-PWY	1067.4612	1809.1358	2617.792	535.6916	1043.7118	370.38	1012.6282	599.4768	44.6288
P161-PWY	8469.5289	27873.1198	20796.8786	11897.1133	9863.1021	8310.7717	13289.8451	6079.0174	384.2166
P162-PWY	1623.0306	1185.206	2430.1803	878.8948	7.9888	367.2287	1286.478	1280.3538	42.4396
P163-PWY	1664.5409	7084.0044	3609.8881	3302.313	2127.9241	896.3203	2349.9742	2303.6703	18.4779
